NO,ID
1,hsa00010.txt
2,hsa00020.txt
3,hsa00030.txt
4,hsa00040.txt
5,hsa00051.txt
6,hsa00052.txt
7,hsa00053.txt
8,hsa00061.txt
9,hsa00062.txt
10,hsa00071.txt
11,hsa00072.txt
12,hsa00100.txt
13,hsa00120.txt
14,hsa00130.txt
15,hsa00140.txt
16,hsa00190.txt
17,hsa00220.txt
18,hsa00230.txt
19,hsa00232.txt
20,hsa00240.txt
21,hsa00250.txt
22,hsa00260.txt
23,hsa00270.txt
24,hsa00280.txt
25,hsa00290.txt
26,hsa00300.txt
27,hsa00310.txt
28,hsa00330.txt
29,hsa00340.txt
30,hsa00350.txt
31,hsa00360.txt
32,hsa00380.txt
33,hsa00400.txt
34,hsa00410.txt
35,hsa00430.txt
36,hsa00450.txt
37,hsa00471.txt
38,hsa00472.txt
39,hsa00480.txt
40,hsa00500.txt
41,hsa00510.txt
42,hsa00511.txt
43,hsa00512.txt
44,hsa00514.txt
45,hsa00520.txt
46,hsa00524.txt
47,hsa00531.txt
48,hsa00532.txt
49,hsa00533.txt
50,hsa00534.txt
51,hsa00561.txt
52,hsa00562.txt
53,hsa00563.txt
54,hsa00564.txt
55,hsa00565.txt
56,hsa00590.txt
57,hsa00591.txt
58,hsa00592.txt
59,hsa00600.txt
60,hsa00601.txt
61,hsa00603.txt
62,hsa00604.txt
63,hsa00620.txt
64,hsa00630.txt
65,hsa00640.txt
66,hsa00650.txt
67,hsa00670.txt
68,hsa00730.txt
69,hsa00740.txt
70,hsa00750.txt
71,hsa00760.txt
72,hsa00770.txt
73,hsa00780.txt
74,hsa00785.txt
75,hsa00790.txt
76,hsa00830.txt
77,hsa00860.txt
78,hsa00900.txt
79,hsa00910.txt
80,hsa00920.txt
81,hsa00970.txt
82,hsa00980.txt
83,hsa00982.txt
84,hsa00983.txt
85,hsa01040.txt
86,hsa02010.txt
87,hsa03008.txt
88,hsa03010.txt
89,hsa03013.txt
90,hsa03015.txt
91,hsa03018.txt
92,hsa03020.txt
93,hsa03022.txt
94,hsa03030.txt
95,hsa03040.txt
96,hsa03050.txt
97,hsa03060.txt
98,hsa03320.txt
99,hsa03410.txt
100,hsa03420.txt
101,hsa03430.txt
102,hsa03440.txt
103,hsa03450.txt
104,hsa03460.txt
105,hsa04010.txt
106,hsa04012.txt
107,hsa04014.txt
108,hsa04015.txt
109,hsa04020.txt
110,hsa04022.txt
111,hsa04024.txt
112,hsa04060.txt
113,hsa04062.txt
114,hsa04064.txt
115,hsa04066.txt
116,hsa04068.txt
117,hsa04070.txt
118,hsa04071.txt
119,hsa04072.txt
120,hsa04080.txt
121,hsa04110.txt
122,hsa04114.txt
123,hsa04115.txt
124,hsa04120.txt
125,hsa04122.txt
126,hsa04130.txt
127,hsa04140.txt
128,hsa04141.txt
129,hsa04142.txt
130,hsa04144.txt
131,hsa04145.txt
132,hsa04146.txt
133,hsa04150.txt
134,hsa04151.txt
135,hsa04152.txt
136,hsa04210.txt
137,hsa04211.txt
138,hsa04213.txt
139,hsa04215.txt
140,hsa04260.txt
141,hsa04261.txt
142,hsa04270.txt
143,hsa04310.txt
144,hsa04320.txt
145,hsa04330.txt
146,hsa04340.txt
147,hsa04350.txt
148,hsa04360.txt
149,hsa04370.txt
150,hsa04380.txt
151,hsa04390.txt
152,hsa04392.txt
153,hsa04510.txt
154,hsa04512.txt
155,hsa04514.txt
156,hsa04520.txt
157,hsa04530.txt
158,hsa04540.txt
159,hsa04550.txt
160,hsa04610.txt
161,hsa04611.txt
162,hsa04612.txt
163,hsa04614.txt
164,hsa04620.txt
165,hsa04621.txt
166,hsa04622.txt
167,hsa04623.txt
168,hsa04630.txt
169,hsa04640.txt
170,hsa04650.txt
171,hsa04660.txt
172,hsa04662.txt
173,hsa04664.txt
174,hsa04666.txt
175,hsa04668.txt
176,hsa04670.txt
177,hsa04672.txt
178,hsa04710.txt
179,hsa04713.txt
180,hsa04720.txt
181,hsa04721.txt
182,hsa04722.txt
183,hsa04723.txt
184,hsa04724.txt
185,hsa04725.txt
186,hsa04726.txt
187,hsa04727.txt
188,hsa04728.txt
189,hsa04730.txt
190,hsa04740.txt
191,hsa04742.txt
192,hsa04744.txt
193,hsa04750.txt
194,hsa04810.txt
195,hsa04910.txt
196,hsa04911.txt
